prefix,arpnum,t_start,t_end,label,flares,FLARE_INDEX,AREA,USFLUX,MEANGBZ,R_VALUE
HARP,6754,2016-09-15 16:00:00,2016-09-16 16:00:00,False,,0.0,952.503418,1.331759e+21,20.236,0.0
HARP,824,2011-09-06 01:36:00,2011-09-07 01:36:00,False,,0.0,3634.478516,5.812427e+21,17.284,3.251
HARP,5982,2015-09-23 22:24:00,2015-09-24 22:24:00,False,,0.0,1022.876831,1.683693e+21,22.903,2.689
HARP,4123,2014-05-14 17:36:00,2014-05-15 17:36:00,False,,0.0,4610.019043,8.661406e+21,20.476,3.56
HARP,4284,2014-06-23 19:12:00,2014-06-24 19:12:00,False,,0.0,1413.824463,2.686482e+21,23.295,2.966
HARP,4284,2014-06-26 17:36:00,2014-06-27 17:36:00,False,,0.0,2739.841064,4.100059e+21,21.862,2.589
HARP,4921,2014-12-15 12:48:00,2014-12-16 12:48:00,False,,0.0,2330.150146,4.401464e+21,14.15,3.362
HARP,3115,2013-08-21 16:00:00,2013-08-22 16:00:00,False,,0.0,1534.115112,3.085191e+21,20.937,3.637
HARP,4761,2014-11-03 03:12:00,2014-11-04 03:12:00,False,,0.0,2532.340088,4.528263e+21,23.217,3.269
HARP,693,2011-07-04 17:36:00,2011-07-05 17:36:00,False,,0.0,1494.371338,2.028787e+21,20.569,0.0
HARP,4864,2014-11-25 22:24:00,2014-11-26 22:24:00,False,,0.0,3338.801758,8.591667e+21,19.976,3.837
HARP,4864,2014-11-28 22:24:00,2014-11-29 22:24:00,False,,0.0,4427.874023,9.696041e+21,22.068,1.835
HARP,7235,2018-01-31 16:00:00,2018-02-01 16:00:00,False,,0.0,790.413025,1.163551e+21,20.643,0.0
HARP,6418,2016-03-12 20:48:00,2016-03-13 20:48:00,False,,0.0,5997.130859,1.19111e+22,22.749,2.887
HARP,651,2011-06-05 19:12:00,2011-06-06 19:12:00,False,,0.0,429.696808,5.761562e+20,20.832,0.0
HARP,5545,2015-05-10 03:12:00,2015-05-11 03:12:00,False,,0.0,7013.389648,1.284161e+22,19.435,3.698
HARP,975,2011-10-17 17:36:00,2011-10-18 17:36:00,False,,0.0,2134.458008,4.168002e+21,24.795,3.099
HARP,632,2011-05-31 22:24:00,2011-06-01 22:24:00,False,,0.0,1445.595947,2.049158e+21,19.615,0.0
HARP,632,2011-06-02 17:36:00,2011-06-03 17:36:00,False,,0.0,1287.187134,1.857636e+21,18.481,0.0
HARP,632,2011-06-03 03:12:00,2011-06-04 03:12:00,False,,0.0,815.160156,1.296309e+21,18.532,0.0
HARP,2131,2012-10-20 09:36:00,2012-10-21 09:36:00,False,,0.0,2180.587646,3.425103e+21,13.167,3.357
HARP,6353,2016-02-12 22:24:00,2016-02-13 22:24:00,False,,0.0,436.225342,7.24641e+20,19.529,0.0
HARP,2061,2012-09-30 20:48:00,2012-10-01 20:48:00,False,,0.0,2992.073975,4.541633e+21,22.407,0.0
HARP,6302,2016-01-30 08:00:00,2016-01-31 08:00:00,False,,0.0,6496.608887,1.030204e+22,23.462,0.0
HARP,5036,2015-01-10 06:24:00,2015-01-11 06:24:00,False,,0.0,9074.229492,1.374359e+22,21.507,0.0
HARP,5036,2015-01-12 08:00:00,2015-01-13 08:00:00,False,,0.0,8155.163574,1.206049e+22,21.395,0.0
HARP,3291,2013-10-26 03:12:00,2013-10-27 03:12:00,True,C4.3|C1.9|C3.5|M3.5|C9.1|C3.5|X1.0,0.0,10104.897461,3.489708e+22,25.098,4.621
HARP,3291,2013-10-26 04:48:00,2013-10-27 04:48:00,True,C1.9|C3.5|M3.5|C9.1|C3.5|X1.0|M5.1,4.3,10049.852539,3.532712e+22,24.911,4.604
HARP,3291,2013-10-26 06:24:00,2013-10-27 06:24:00,True,C1.9|C3.5|M3.5|C9.1|C3.5|X1.0|M5.1,4.3,10019.375977,3.545757e+22,24.781,4.626
HARP,3291,2013-10-26 08:00:00,2013-10-27 08:00:00,True,C3.5|M3.5|C9.1|C3.5|X1.0|M5.1,6.2,9976.984375,3.538213e+22,24.398,4.621
HARP,3291,2013-10-26 09:36:00,2013-10-27 09:36:00,True,M3.5|C9.1|C3.5|X1.0|M5.1|C5.2,9.7,9909.217773,3.497139e+22,24.19,4.602
HARP,3291,2013-10-26 11:12:00,2013-10-27 11:12:00,True,M3.5|C9.1|C3.5|X1.0|M5.1|C5.2,9.7,9811.293945,3.460766e+22,23.623,4.604
HARP,3291,2013-10-26 12:48:00,2013-10-27 12:48:00,True,C9.1|C3.5|X1.0|M5.1|C5.2,44.7,9683.521484,3.451969e+22,23.419,4.636
HARP,3291,2013-10-26 14:24:00,2013-10-27 14:24:00,True,C9.1|C3.5|X1.0|M5.1|C5.2|M2.8,44.7,9589.756836,3.466113e+22,22.922,4.587
HARP,3291,2013-10-26 16:00:00,2013-10-27 16:00:00,True,C9.1|C3.5|X1.0|M5.1|C5.2|M2.8,44.7,9547.866211,3.485524e+22,22.371,4.575
HARP,3291,2013-10-26 17:36:00,2013-10-27 17:36:00,True,C9.1|C3.5|X1.0|M5.1|C5.2|M2.8,44.7,9547.866211,3.485524e+22,22.371,4.575
HARP,6522,2016-05-01 01:36:00,2016-05-02 01:36:00,False,,0.0,256.86026,3.656241e+20,22.572,0.0
HARP,2625,2013-04-07 22:24:00,2013-04-08 22:24:00,False,,0.0,7214.774414,9.516192e+21,20.384,0.0
HARP,2625,2013-04-12 16:00:00,2013-04-13 16:00:00,False,,0.0,201.893799,4.725522e+20,22.061,0.0
HARP,1557,2012-04-16 19:12:00,2012-04-17 19:12:00,False,,0.0,2169.907959,2.800491e+21,20.497,1.972
HARP,6657,2016-07-07 11:12:00,2016-07-08 11:12:00,False,,0.0,2271.704102,3.046634e+21,19.321,0.0
HARP,2661,2013-04-20 12:48:00,2013-04-21 12:48:00,False,,0.0,1561.200928,2.027433e+21,19.541,1.769
HARP,4915,2014-12-12 16:00:00,2014-12-13 16:00:00,False,,0.0,207.80658,4.07773e+20,27.148,0.0
HARP,6099,2015-11-15 08:00:00,2015-11-16 08:00:00,False,,0.0,1630.255493,2.516121e+21,23.403,2.48
HARP,5627,2015-06-01 12:48:00,2015-06-02 12:48:00,False,,0.0,2083.244629,3.117284e+21,22.631,1.853
HARP,2733,2013-05-16 01:36:00,2013-05-17 01:36:00,False,,0.0,4711.177246,7.056415e+21,17.263,2.934
HARP,2912,2013-07-02 01:36:00,2013-07-03 01:36:00,False,,0.0,3119.633545,6.562109e+21,16.851,3.499
HARP,7287,2018-07-20 20:48:00,2018-07-21 20:48:00,False,,0.0,633.817627,7.660689e+20,19.281,2.454
HARP,4879,2014-11-29 06:24:00,2014-11-30 06:24:00,False,,0.0,1193.36145,1.90527e+21,19.924,0.0
HARP,4228,2014-06-18 22:24:00,2014-06-19 22:24:00,False,,0.0,3454.086182,6.268005e+21,18.517,3.557
HARP,5596,2015-05-19 12:48:00,2015-05-20 12:48:00,False,,0.0,427.121338,6.346022e+20,20.807,0.0
HARP,3376,2013-11-19 17:36:00,2013-11-20 17:36:00,False,,0.0,16122.033203,4.206692e+22,25.895,4.57
HARP,4839,2014-11-17 06:24:00,2014-11-18 06:24:00,False,,0.0,1000.456604,1.554189e+21,18.213,0.0
HARP,2619,2013-04-09 11:12:00,2013-04-10 11:12:00,False,,0.0,1354.494995,2.520898e+21,19.344,3.449
HARP,6999,2017-04-29 00:00:00,2017-04-30 00:00:00,False,,0.0,1514.106201,2.099288e+21,16.699,0.0
HARP,392,2011-02-28 00:00:00,2011-03-01 00:00:00,False,,0.0,3043.248047,4.726229e+21,20.475,0.0
HARP,335,2011-01-10 08:00:00,2011-01-11 08:00:00,False,,0.0,1447.683716,1.881709e+21,19.428,0.0
HARP,2158,2012-11-01 11:12:00,2012-11-02 11:12:00,False,,0.0,1242.922119,1.71943e+21,18.802,0.0
HARP,2711,2013-05-04 04:48:00,2013-05-05 04:48:00,False,,0.0,2292.973877,3.201978e+21,20.424,2.433
HARP,6683,2016-07-17 16:00:00,2016-07-18 16:00:00,False,,0.0,2358.30542,4.620157e+21,21.137,3.053
HARP,2739,2013-05-16 12:48:00,2013-05-17 12:48:00,False,,0.0,13476.337891,3.191815e+22,27.996,3.08
HARP,1644,2012-05-11 22:24:00,2012-05-12 22:24:00,False,,0.0,6289.617188,1.034258e+22,18.489,3.277
HARP,2411,2013-01-27 06:24:00,2013-01-28 06:24:00,False,,0.0,3415.147949,4.34863e+21,19.332,2.285
HARP,4942,2014-12-17 03:12:00,2014-12-18 03:12:00,False,,0.0,3029.530029,5.920153e+21,25.4,2.494
HARP,5423,2015-04-06 09:36:00,2015-04-07 09:36:00,False,,0.0,1157.059326,1.573224e+21,20.718,0.0
HARP,3719,2014-02-12 20:48:00,2014-02-13 20:48:00,False,,0.0,3035.745361,5.121256e+21,19.401,3.314
HARP,843,2011-09-06 12:48:00,2011-09-07 12:48:00,False,,0.0,4797.220703,9.195518e+21,21.944,3.452
HARP,1066,2011-11-19 11:12:00,2011-11-20 11:12:00,False,,0.0,9078.191406,1.513557e+22,22.024,2.776
HARP,5845,2015-08-07 06:24:00,2015-08-08 06:24:00,False,,0.0,1046.829102,1.592371e+21,23.051,0.0
HARP,5845,2015-08-09 17:36:00,2015-08-10 17:36:00,False,,0.0,783.495056,1.016563e+21,20.106,0.0
HARP,3267,2013-10-11 20:48:00,2013-10-12 20:48:00,False,,0.0,1996.018921,4.385401e+21,28.553,3.719
HARP,1596,2012-04-23 16:00:00,2012-04-24 16:00:00,False,,0.0,3967.185303,1.38545e+22,33.676,4.473
HARP,5880,2015-08-21 09:36:00,2015-08-22 09:36:00,False,,0.0,1733.955322,2.972457e+21,14.526,0.0
HARP,2387,2013-01-17 06:24:00,2013-01-18 06:24:00,False,,0.0,2965.278076,6.355597e+21,24.818,2.186
HARP,2387,2013-01-18 16:00:00,2013-01-19 16:00:00,False,,0.0,3093.876465,6.234081e+21,23.983,0.0
HARP,6922,2017-01-22 06:24:00,2017-01-23 06:24:00,False,,0.0,3018.799072,7.278079e+21,30.336,3.268
HARP,4042,2014-04-21 14:24:00,2014-04-22 14:24:00,False,,0.0,4788.196777,1.044125e+22,21.491,3.777
