prefix,arpnum,t_start,t_end,label,flares,FLARE_INDEX,AREA,USFLUX,MEANGBZ,R_VALUE
TARP,10434,2004-04-10 01:36:00,2004-04-11 01:36:00,False,,0.0,1895.0,3.948e+21,40.167,0.0
TARP,3665,2000-05-20 19:12:00,2000-05-21 19:12:00,False,,0.0,9910.0,2.64e+22,45.449,0.0
TARP,3665,2000-05-25 12:48:00,2000-05-26 12:48:00,False,,0.0,9845.0,2.465e+22,50.014,0.0
TARP,4634,2000-11-13 00:00:00,2000-11-14 00:00:00,False,,0.0,10346.0,2.724e+22,47.181,2.015
TARP,9253,2003-03-15 19:12:00,2003-03-16 19:12:00,True,C7.7|X1.5,11.4,4556.0,2.905e+22,100.091,4.973
TARP,9253,2003-03-15 20:48:00,2003-03-16 20:48:00,True,C7.7|X1.5,3.0,4618.0,2.958e+22,100.283,4.965
TARP,9253,2003-03-15 22:24:00,2003-03-16 22:24:00,True,C7.7|X1.5,3.0,4641.0,2.993e+22,101.479,4.928
TARP,9253,2003-03-16 00:00:00,2003-03-17 00:00:00,True,C7.7|X1.5|C1.7,3.0,4695.0,3.046e+22,101.365,4.923
TARP,9253,2003-03-16 01:36:00,2003-03-17 01:36:00,True,C7.7|X1.5|C1.7|M1.6,3.0,4747.0,3.084e+22,101.149,4.946
TARP,9253,2003-03-16 03:12:00,2003-03-17 03:12:00,True,C7.7|X1.5|C1.7|M1.6|C4.7,3.0,4786.0,3.075e+22,96.71,4.947
TARP,9253,2003-03-16 04:48:00,2003-03-17 04:48:00,True,C7.7|X1.5|C1.7|M1.6|C4.7|C7.5,0.0,4850.0,3.076e+22,94.02,4.913
TARP,9253,2003-03-16 06:24:00,2003-03-17 06:24:00,True,C7.7|X1.5|C1.7|M1.6|C4.7|C7.5|M2.5,0.0,4928.0,3.104e+22,95.618,4.967
TARP,9253,2003-03-16 08:00:00,2003-03-17 08:00:00,True,C7.7|X1.5|C1.7|M1.6|C4.7|C7.5|M2.5|C2.1,0.0,4967.0,3.039e+22,91.484,4.897
TARP,9253,2003-03-16 09:36:00,2003-03-17 09:36:00,True,C7.7|X1.5|C1.7|M1.6|C4.7|C7.5|M2.5|C2.1,0.0,5015.0,3.033e+22,90.017,4.862
TARP,9253,2003-03-16 11:12:00,2003-03-17 11:12:00,True,C7.7|X1.5|C1.7|M1.6|C4.7|C7.5|M2.5|C2.1,0.0,5075.0,3.041e+22,88.673,4.909
TARP,9253,2003-03-16 12:48:00,2003-03-17 12:48:00,True,C7.7|X1.5|C1.7|M1.6|C4.7|C7.5|M2.5|C2.1|X1.5,0.0,5118.0,3.097e+22,91.124,4.902
TARP,9253,2003-03-16 14:24:00,2003-03-17 14:24:00,True,C7.7|X1.5|C1.7|M1.6|C4.7|C7.5|M2.5|C2.1|X1.5,0.0,5147.0,3.125e+22,90.947,4.883
TARP,9253,2003-03-16 16:00:00,2003-03-17 16:00:00,True,C7.7|X1.5|C1.7|M1.6|C4.7|C7.5|M2.5|C2.1|X1.5,0.0,5209.0,3.148e+22,88.802,4.921
TARP,9253,2003-03-16 17:36:00,2003-03-17 17:36:00,True,X1.5|C1.7|M1.6|C4.7|C7.5|M2.5|C2.1|X1.5|C2.8,7.7,5215.0,3.148e+22,87.921,4.881
TARP,9253,2003-03-16 19:12:00,2003-03-17 19:12:00,True,C1.7|M1.6|C4.7|C7.5|M2.5|C2.1|X1.5|C2.8,157.7,5225.0,3.07e+22,83.918,4.914
TARP,9253,2003-03-16 20:48:00,2003-03-17 20:48:00,True,C1.7|M1.6|C4.7|C7.5|M2.5|C2.1|X1.5|C2.8,157.7,5243.0,3.091e+22,84.271,4.909
TARP,9253,2003-03-16 22:24:00,2003-03-17 22:24:00,True,C1.7|M1.6|C4.7|C7.5|M2.5|C2.1|X1.5|C2.8|B7.5,157.7,5265.0,3.122e+22,87.45,4.928
TARP,9253,2003-03-17 00:00:00,2003-03-18 00:00:00,True,M1.6|C4.7|C7.5|M2.5|C2.1|X1.5|C2.8|B7.5|C5.1,159.4,5287.0,3.106e+22,86.739,4.858
TARP,9253,2003-03-17 01:36:00,2003-03-18 01:36:00,True,C4.7|C7.5|M2.5|C2.1|X1.5|C2.8|B7.5|C5.1|C1.5,175.4,5276.0,3.071e+22,85.857,4.883
TARP,9253,2003-03-17 03:12:00,2003-03-18 03:12:00,True,C7.5|M2.5|C2.1|X1.5|C2.8|B7.5|C5.1|C1.5|C1.7,180.1,5316.0,3.011e+22,81.967,4.925
TARP,9253,2003-03-17 04:48:00,2003-03-18 04:48:00,True,M2.5|C2.1|X1.5|C2.8|B7.5|C5.1|C1.5|C1.7,187.6,5361.0,3.002e+22,83.418,4.894
TARP,9253,2003-03-17 06:24:00,2003-03-18 06:24:00,True,C2.1|X1.5|C2.8|B7.5|C5.1|C1.5|C1.7,212.6,5390.0,2.923e+22,78.315,4.885
TARP,9253,2003-03-17 08:00:00,2003-03-18 08:00:00,True,X1.5|C2.8|B7.5|C5.1|C1.5|C1.7|M1.6,214.7,5406.0,2.913e+22,78.261,4.902
TARP,9253,2003-03-17 09:36:00,2003-03-18 09:36:00,True,X1.5|C2.8|B7.5|C5.1|C1.5|C1.7|M1.6|M3.7,214.7,5452.0,2.899e+22,77.735,4.954
TARP,9253,2003-03-17 11:12:00,2003-03-18 11:12:00,True,X1.5|C2.8|B7.5|C5.1|C1.5|C1.7|M1.6|M3.7,214.7,5442.0,2.904e+22,81.004,4.959
TARP,4565,2000-11-01 04:48:00,2000-11-02 04:48:00,False,,0.0,7083.0,2.478e+22,60.692,3.468
TARP,1113,1998-05-23 19:12:00,1998-05-24 19:12:00,False,,0.0,387.0,9.26e+20,37.657,0.0
TARP,2497,1999-10-12 09:36:00,1999-10-13 09:36:00,True,C1.7|C5.7|C4.2|X1.8,0.0,26228.0,1.19e+23,66.121,4.836
TARP,2497,1999-10-12 11:12:00,1999-10-13 11:12:00,True,C1.7|C5.7|C4.2|X1.8,0.0,26491.0,1.207e+23,66.459,4.87
TARP,2497,1999-10-12 12:48:00,1999-10-13 12:48:00,True,C1.7|C5.7|C4.2|X1.8,0.0,26651.0,1.221e+23,67.47,4.887
TARP,2497,1999-10-12 14:24:00,1999-10-13 14:24:00,True,C1.7|C5.7|C4.2|X1.8,0.0,26912.0,1.23e+23,65.413,4.903
TARP,2497,1999-10-12 16:00:00,1999-10-13 16:00:00,True,C5.7|C4.2|X1.8,1.7,27087.0,1.243e+23,65.811,4.888
TARP,2497,1999-10-12 17:36:00,1999-10-13 17:36:00,True,C5.7|C4.2|X1.8,1.7,27131.0,1.257e+23,66.295,4.82
TARP,2497,1999-10-12 19:12:00,1999-10-13 19:12:00,True,C5.7|C4.2|X1.8,1.7,27495.0,1.275e+23,68.08,4.862
TARP,2497,1999-10-12 20:48:00,1999-10-13 20:48:00,True,C5.7|C4.2|X1.8,1.7,27495.0,1.275e+23,68.08,4.862
TARP,2497,1999-10-12 22:24:00,1999-10-13 22:24:00,True,C5.7|C4.2|X1.8,1.7,27831.0,1.303e+23,69.241,4.847
TARP,2497,1999-10-13 00:00:00,1999-10-14 00:00:00,True,C5.7|C4.2|X1.8|C2.7,1.7,28050.0,1.315e+23,69.738,4.888
TARP,2497,1999-10-13 01:36:00,1999-10-14 01:36:00,True,C5.7|C4.2|X1.8|C2.7|C7.4,1.7,28531.0,1.333e+23,69.947,4.922
TARP,2497,1999-10-13 03:12:00,1999-10-14 03:12:00,True,C4.2|X1.8|C2.7|C7.4,7.4,29215.0,1.36e+23,70.669,4.938
TARP,2497,1999-10-13 04:48:00,1999-10-14 04:48:00,True,X1.8|C2.7|C7.4|C2.2,11.6,29499.0,1.369e+23,70.244,4.938
TARP,2497,1999-10-13 06:24:00,1999-10-14 06:24:00,True,X1.8|C2.7|C7.4|C2.2,11.6,29714.0,1.381e+23,70.572,4.934
TARP,2497,1999-10-13 08:00:00,1999-10-14 08:00:00,True,X1.8|C2.7|C7.4|C2.2,11.6,29895.0,1.39e+23,70.735,4.839
TARP,2118,1999-07-24 09:36:00,1999-07-25 09:36:00,False,,0.0,1828.0,6.443e+21,58.141,0.0
TARP,2118,1999-07-27 04:48:00,1999-07-28 04:48:00,False,,0.0,1970.0,6.612e+21,51.362,0.0
TARP,1014,1998-04-19 20:48:00,1998-04-20 20:48:00,False,,0.0,3486.0,1.175e+22,48.246,0.0
TARP,8660,2002-11-02 11:12:00,2002-11-03 11:12:00,False,,0.0,1774.0,3.722e+21,46.732,2.336
TARP,12303,2007-01-11 08:00:00,2007-01-12 08:00:00,False,,0.0,716.0,1.414e+21,38.707,0.0
TARP,10712,2004-08-11 19:12:00,2004-08-12 19:12:00,True,C6.1|C9.9|C1.2|C2.2|C1.9|M1.2|C2.4|M1.1|C8.6|C2.3|X1.0,45.8,19385.0,9.837e+22,76.593,4.88
TARP,10712,2004-08-11 20:48:00,2004-08-12 20:48:00,True,C6.1|C9.9|C1.2|C2.2|C1.9|M1.2|C2.4|M1.1|C8.6|C2.3|X1.0,45.8,19456.0,9.862e+22,76.36,4.898
TARP,10712,2004-08-11 22:24:00,2004-08-12 22:24:00,True,C9.9|C1.2|C2.2|C1.9|M1.2|C2.4|M1.1|C8.6|C2.3|X1.0,45.2,19488.0,9.882e+22,76.314,4.861
